April,August,December,February,January,July,June,March,May,November,October,September
79276.0,79276.0,79276.0,78856.0,79276.0,79276.0,79276.0,78856.0,78856.0,78856.0,78856.0,78856.0
79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0,79276.0
79276.0,79276.0,79276.0,79066.0,79276.0,79276.0,79276.0,78856.0,79276.0,79276.0,79066.0,78856.0
